epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,840.303,0.89716,0.61801,1.02574,0.89365,0.71658,0.84556,0.5352,0.96928,0.54384,0.94198,0.0004556,0.0004556,0.0004556
41,857.43,0.77917,0.60582,0.94187,0.892,0.74866,0.82946,0.51482,1.02817,0.58675,0.95802,0.000416,0.000416,0.000416
42,873.644,0.75863,0.56879,0.92145,0.87178,0.76357,0.84071,0.52048,1.01774,0.58179,0.96158,0.0003764,0.0003764,0.0003764
43,890.028,0.72938,0.52656,0.92251,0.8702,0.80214,0.85547,0.53926,0.98461,0.57792,0.95582,0.0003368,0.0003368,0.0003368
44,907.687,0.73415,0.55804,0.92778,0.88534,0.74332,0.83105,0.53815,0.97798,0.56399,0.95447,0.0002972,0.0002972,0.0002972
45,940.011,0.74497,0.55711,0.94671,0.87759,0.72193,0.83539,0.53382,0.99455,0.56296,0.9613,0.0002576,0.0002576,0.0002576
46,975.278,0.71382,0.52072,0.92735,0.85641,0.76471,0.85194,0.53973,0.98119,0.55045,0.96357,0.000218,0.000218,0.000218
47,1009.83,0.72746,0.51176,0.91515,0.879,0.79144,0.85711,0.5513,0.96372,0.54901,0.95739,0.0001784,0.0001784,0.0001784
48,1061.21,0.70276,0.50288,0.91619,0.87579,0.79679,0.85961,0.55505,0.96255,0.54752,0.95456,0.0001388,0.0001388,0.0001388
49,1114.84,0.72889,0.51259,0.92588,0.86444,0.78431,0.84955,0.55181,0.96403,0.54009,0.95541,9.92e-05,9.92e-05,9.92e-05
50,1169.02,0.67652,0.48846,0.90786,0.8349,0.79679,0.84707,0.55207,0.96499,0.53748,0.95446,5.96e-05,5.96e-05,5.96e-05
