epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6581,1.43478,2.18562,1.26594,0.72824,0.2139,0.34472,0.20555,1.35997,2.11879,1.06183,0.00052,0.00052,0.00052
2,45.0989,1.26672,1.32125,1.1749,0.5995,0.27807,0.38156,0.21911,1.32693,1.79132,1.03408,0.00103901,0.00103901,0.00103901
3,73.6605,1.30355,1.31092,1.19577,0.45185,0.24599,0.27704,0.17028,1.40399,1.83668,1.17369,0.00153664,0.00153664,0.00153664
4,104.564,1.27896,1.27029,1.20811,0.65196,0.40069,0.45437,0.26063,1.53854,1.46729,1.4342,0.0018812,0.0018812,0.0018812
5,145.651,1.28942,1.20982,1.21538,0.64866,0.4492,0.53554,0.30115,1.41796,1.19211,1.21987,0.0018416,0.0018416,0.0018416
6,179.944,1.32137,1.11666,1.1922,0.48657,0.58824,0.51052,0.25755,1.54185,1.2853,1.23049,0.001802,0.001802,0.001802
7,229.935,1.21545,1.06793,1.15838,0.76452,0.52087,0.6151,0.35075,1.35474,1.05254,1.13611,0.0017624,0.0017624,0.0017624
8,275.12,1.18099,1.01781,1.14589,0.79419,0.61497,0.70204,0.37433,1.2487,1.07553,1.09502,0.0017228,0.0017228,0.0017228
9,295.198,1.27588,1.0168,1.17822,0.76918,0.55244,0.64959,0.33667,1.43417,1.1945,1.15198,0.0016832,0.0016832,0.0016832
10,310.81,1.24204,1.04494,1.18873,0.70094,0.64706,0.65704,0.37322,1.25688,1.03217,1.1268,0.0016436,0.0016436,0.0016436
11,344.413,1.1384,0.95475,1.11425,0.84316,0.68984,0.78262,0.36703,1.33993,0.98432,1.11537,0.001604,0.001604,0.001604
12,360.625,1.1287,0.91938,1.1038,0.80358,0.63636,0.72259,0.3929,1.3109,0.97996,1.0841,0.0015644,0.0015644,0.0015644
13,376.646,1.10487,0.90117,1.12579,0.76857,0.60428,0.70318,0.40336,1.2775,0.89124,1.08981,0.0015248,0.0015248,0.0015248
14,393.274,1.1001,0.88048,1.11665,0.61613,0.66948,0.67754,0.3912,1.21114,0.882,1.09617,0.0014852,0.0014852,0.0014852
15,413.154,1.13355,0.89491,1.13972,0.7462,0.74866,0.7559,0.39299,1.25001,0.87203,1.07385,0.0014456,0.0014456,0.0014456
16,438.818,1.12296,0.90695,1.11753,0.74832,0.795,0.80577,0.46315,1.14907,0.7737,1.02189,0.001406,0.001406,0.001406
17,455.303,1.07004,0.85351,1.07309,0.79483,0.75401,0.82045,0.46809,1.12695,0.77082,1.00292,0.0013664,0.0013664,0.0013664
18,471.554,1.03381,0.81666,1.07581,0.79263,0.75631,0.81383,0.48426,1.09222,0.70629,0.98757,0.0013268,0.0013268,0.0013268
19,487.935,1.06254,0.8138,1.09747,0.76535,0.77005,0.81293,0.46292,1.18635,0.73234,1.03173,0.0012872,0.0012872,0.0012872
20,504.86,1.06684,0.78681,1.07824,0.82114,0.75401,0.82061,0.47409,1.10844,0.71711,1.0089,0.0012476,0.0012476,0.0012476
21,521.139,0.97994,0.77449,1.07033,0.82921,0.72727,0.80075,0.47442,1.1491,0.70129,1.03007,0.001208,0.001208,0.001208
22,537.125,1.00753,0.76003,1.06275,0.84447,0.72587,0.80807,0.48053,1.09261,0.69006,0.98951,0.0011684,0.0011684,0.0011684
23,554.186,0.98815,0.74977,1.05967,0.82533,0.73277,0.80942,0.48937,1.07685,0.70987,1.00378,0.0011288,0.0011288,0.0011288
24,570.563,1.00397,0.76938,1.0882,0.83202,0.68865,0.77757,0.47421,1.09598,0.71242,1.00316,0.0010892,0.0010892,0.0010892
25,586.721,0.98122,0.73372,1.04275,0.75949,0.81818,0.81901,0.50262,1.05694,0.67258,0.99403,0.0010496,0.0010496,0.0010496
26,602.844,1.0308,0.73896,1.08728,0.8216,0.78808,0.81986,0.48833,1.11232,0.65291,1.03006,0.00101,0.00101,0.00101
27,619.815,0.99616,0.74809,1.05737,0.87102,0.73262,0.82662,0.52169,1.07181,0.65132,0.99592,0.0009704,0.0009704,0.0009704
28,636.084,0.96741,0.70477,1.05433,0.87006,0.71612,0.829,0.51633,1.05515,0.63808,0.98285,0.0009308,0.0009308,0.0009308
29,653.129,0.94465,0.69676,1.03617,0.83045,0.75957,0.8506,0.5236,1.07451,0.61714,1.00126,0.0008912,0.0008912,0.0008912
30,671.556,0.93746,0.7039,1.0464,0.87619,0.75687,0.83845,0.51991,1.03926,0.64968,0.97978,0.0008516,0.0008516,0.0008516
31,688.657,0.95535,0.68412,1.02708,0.82621,0.73797,0.82309,0.50804,1.09984,0.64732,1.01007,0.000812,0.000812,0.000812
32,705.361,0.91835,0.68799,1.02571,0.7865,0.76471,0.83485,0.51936,1.03613,0.61868,0.98196,0.0007724,0.0007724,0.0007724
33,722.101,0.89574,0.65748,1.02363,0.86044,0.75829,0.85445,0.52227,1.06039,0.60028,0.98666,0.0007328,0.0007328,0.0007328
34,739.5,0.90025,0.67332,1.02761,0.87407,0.73262,0.82799,0.52878,1.00399,0.60481,0.97014,0.0006932,0.0006932,0.0006932
35,755.995,0.88243,0.65889,1.02573,0.85596,0.71658,0.81941,0.52043,1.00769,0.61322,0.96506,0.0006536,0.0006536,0.0006536
36,772.624,0.87833,0.63413,1.00265,0.83821,0.77577,0.84736,0.51933,1.0065,0.58311,0.97245,0.000614,0.000614,0.000614
37,790.02,0.85898,0.64429,1.01067,0.82562,0.7754,0.85134,0.53168,0.96788,0.55957,0.95389,0.0005744,0.0005744,0.0005744
38,807.084,0.91359,0.65596,1.02685,0.86225,0.78075,0.84441,0.50251,1.04573,0.58609,0.97426,0.0005348,0.0005348,0.0005348
39,823.661,0.90121,0.64081,1.03667,0.9258,0.70588,0.84437,0.53104,0.976,0.55841,0.95299,0.0004952,0.0004952,0.0004952
